id,training_hours,performance_score,prior_experience,education_level,age
1,40,78,5,Bachelor,28
2,20,62,2,Master,24
3,60,88,8,Bachelor,35
4,30,70,3,Bachelor,26
5,50,84,6,Master,32
6,25,65,2,Bachelor,23
7,55,86,7,Master,38
8,35,74,4,Bachelor,29
9,45,82,5,Master,31
10,15,58,1,Bachelor,22
11,42,80,5,Bachelor,30
12,22,64,2,Master,25
13,58,87,7,Bachelor,36
14,32,72,4,Bachelor,27
15,48,83,6,Master,33
16,28,68,3,Bachelor,24
17,52,85,6,Master,37
18,38,76,4,Bachelor,30
19,43,81,5,Master,32
20,18,60,1,Bachelor,23
21,41,79,5,Bachelor,29
22,24,66,2,Master,26
23,56,87,7,Bachelor,35
24,34,73,4,Bachelor,28
25,46,82,5,Master,31
26,26,67,3,Bachelor,25
27,54,86,7,Master,36
28,36,75,4,Bachelor,29
29,44,81,5,Master,33
30,16,59,1,Bachelor,22
31,40,78,5,Bachelor,28
32,21,63,2,Master,24
33,57,88,8,Bachelor,37
34,31,71,3,Bachelor,27
35,49,84,6,Master,34
36,27,68,3,Bachelor,26
37,53,85,6,Master,35
38,37,75,4,Bachelor,30
39,42,80,5,Master,32
40,17,59,1,Bachelor,23
41,39,77,4,Bachelor,29
42,23,65,2,Master,25
43,55,86,7,Bachelor,36
44,33,73,4,Bachelor,28
45,47,83,5,Master,32
46,29,69,3,Bachelor,25
47,51,84,6,Master,34
48,35,74,4,Bachelor,29
49,43,80,5,Master,31
50,19,61,2,Bachelor,24
